_step,train/loss,optimizer/learning_rate,optimizer/grad_norm,performance/step_ms,performance/tokens_per_second,performance/data_wait_ms,trainer/tokens_seen,attention_max_logit
0,11.382049560546877,0.0,4.649816036224365,608.4692439762875,861650.782172372,0.0,524288.0,
165,7.563849449157715,0.000165,0.9020849466323853,1439.9588441010565,364099.2950234662,0.181380077265203,87031808.0,
330,6.1054863929748535,0.00033,0.4929654598236084,497.3192099714652,1054228.3295875145,0.1684800954535603,173539328.0,
495,5.284914493560791,0.000495,0.4585711061954498,479.9893220188096,1092290.9655466345,0.1761600142344832,260046848.0,
660,4.65926456451416,0.00066,0.484389990568161,482.0298510603606,1087667.078805764,0.1732910750433802,346554368.0,
825,4.095329761505127,0.000825,0.3892843723297119,478.80033194087446,1095003.417969106,0.1320599112659692,433061888.0,
990,3.817734956741333,0.00099,0.5309523940086365,480.5639019468799,1090984.9821761127,0.1734200632199645,519569408.0,
1155,3.615921974182129,0.001155,0.2469853907823562,479.460239992477,1093496.3032768397,0.1802899641916155,606076928.0,
1320,3.5324859619140625,0.00132,0.3025641441345215,481.12265090458095,1089717.9731909565,0.1901289215311408,692584448.0,
1485,3.457464694976806,0.001485,0.3930583596229553,484.3621409963816,1082429.7681926314,0.2267899690195918,779091968.0,
1650,3.4269943237304688,0.00165,0.2232324033975601,480.0541111035273,1092143.547723797,0.1522200182080268,865599488.0,
1815,3.317295551300049,0.001815,0.3455673456192016,499.7185399988666,1049166.5968630845,0.1994899939745664,952107008.0,
1980,3.293379783630371,0.00198,0.3080361485481262,489.5428710151464,1070974.6398978378,0.1944099785760045,1038614528.0,
2145,3.29010009765625,0.002,0.2858316600322723,479.28888199385256,1093887.256092714,0.1759099541231989,1125122048.0,
2310,3.248871326446533,0.002,0.2326972931623459,497.20446998253465,1054471.614099561,0.1575899077579379,1211629568.0,
2475,3.180198907852173,0.002,0.1467303931713104,480.60436092782766,1090893.139187999,0.1690799836069345,1298137088.0,
2640,3.1287143230438232,0.002,0.1288164407014846,1495.25282997638,350635.01602486987,0.2261899644508958,1384120320.0,
2805,3.1671154499053955,0.002,0.197490781545639,480.49468104727566,1091142.1513704862,0.2080600243061781,1470627840.0,
2970,3.1051762104034424,0.002,0.1445909440517425,482.1819909848273,1087323.893887397,0.1697599655017256,1557135360.0,
3135,3.054929256439209,0.002,0.1912867724895477,507.2621089639142,1033564.28705243,0.1696899998933076,1643642880.0,
3300,3.0234835147857666,0.002,0.1016390770673751,481.738090980798,1088325.8139969215,0.176409026607871,1730150400.0,
3465,3.0047736167907715,0.002,0.1082642674446106,482.4887498980388,1086632.5901086696,0.2144399331882596,1816657920.0,
3630,2.9517462253570557,0.002,0.1155334115028381,480.3232899866998,1091531.4974931104,0.1974600600078702,1903165440.0,
3795,2.9785337448120117,0.002,0.1122551560401916,502.7806089492515,1042776.890492448,0.1859499607235193,1989672960.0,
3960,2.906641721725464,0.002,0.1068642809987068,481.949171051383,1087849.158151375,0.169120030477643,2076180480.0,
4125,2.935952663421631,0.002,0.1032239347696304,487.1123399352655,1076318.4526790574,0.1754299737513065,2162688000.0,
4290,2.9557485580444336,0.002,0.0632013827562332,507.1787489578128,1033734.1638965444,0.1682599540799856,2249195520.0,
4455,2.9498395919799805,0.002,0.0875532552599906,481.062991078943,1089853.1163748652,0.1863499637693166,2335703040.0,
4620,2.916533946990967,0.002,0.08973228931427,1085.675423964858,482914.1273966707,0.2321699867025017,2422210560.0,
4785,2.8827919960021973,0.002,0.0723340064287185,480.1757710520178,1091866.8362865057,0.210819998756051,2508718080.0,
4950,3.0172882080078125,0.002,0.0643798038363456,481.0676210327074,1089842.627268307,0.1695400569587946,2595225600.0,
5115,2.89642333984375,0.002,0.0737204551696777,481.7616899963468,1088272.502539535,0.2861899556592107,2680684544.0,
5280,2.8509843349456787,0.002,0.0735413953661918,484.07152004074305,1083079.6241759318,0.1950100995600223,2767192064.0,
5445,2.9152026176452637,0.002,0.0671346783638,482.062880997546,1087592.5541395687,0.1836089650169015,2853699584.0,
5610,2.806253433227539,0.002,0.0866376981139183,482.3239200050011,1087003.937093901,0.1619200920686125,2940207104.0,
