_step,train/loss,optimizer/learning_rate,optimizer/grad_norm,performance/step_ms,performance/tokens_per_second,performance/data_wait_ms,trainer/tokens_seen,attention_max_logit
0,2.517221450805664,0.0016234898018587,0.0765134990215301,975.3850209526718,537519.0194000732,0.0,524288.0,
12,2.541173934936523,0.0016230686492803,0.073792964220047,478.8505320902914,1094888.6236199087,0.2016699872910976,6815744.0,
24,2.5389909744262695,0.0016226473159836,0.0718172192573547,480.9683510102331,1090067.5666055316,0.280170002952218,13107200.0,
36,2.498638153076172,0.0016222258020908,0.0784390717744827,481.5765009261668,1088690.9950790592,0.1826798543334007,19398656.0,
48,2.490476608276367,0.0016218041077243,0.0719294100999832,481.58481111750007,1088672.2087090097,0.4038698971271515,25690112.0,
60,2.4694299697875977,0.0016213822330062,0.0855004116892814,481.8059909157455,1088172.4384611968,0.2118309494107961,31981568.0,
72,2.488666296005249,0.0016209601780591,0.0733430832624435,482.706090901047,1086143.327964505,0.2792899031192064,38273024.0,
84,2.5390162467956543,0.0016205379430052,0.0661042630672454,505.2283389959484,1037724.84544697,0.4577501676976681,44564480.0,
96,2.483466863632202,0.0016201155279671,0.0761877670884132,989.0089901164174,530114.4936390168,640.1181810069829,50855936.0,
108,2.4567370414733887,0.0016196929330672,0.0798714458942413,880.5098570883274,595436.8321709846,0.2387799322605133,57147392.0,
120,2.6079249382019043,0.0016192701584282,0.0830125287175178,1449.564822949469,361686.4811421244,0.4421391058713197,63438848.0,
132,2.5007028579711914,0.0016188472041727,0.083907775580883,481.8129299674183,1088156.7666427174,0.1733798999339342,69730304.0,
144,2.540945529937744,0.0016184240704233,0.06247353926301,482.36976098269224,1086900.636001542,757.6964139007032,76021760.0,
156,2.564199924468994,0.0016180007573028,0.0814231783151626,483.0531808547675,1085362.897460414,0.1869299449026584,82313216.0,
168,2.515552759170532,0.001617577264934,0.078993909060955,1089.9672850500792,481012.6021130178,0.1967090647667646,88604672.0,
180,2.5393824577331543,0.0016171535934396,0.0772540345788002,482.3903210926801,1086854.3108668018,0.1638100948184728,94896128.0,
192,2.3993773460388184,0.0016167297429426,0.0704321190714836,485.5377699714154,1079808.8890816176,0.3867000341415405,101187584.0,
204,2.4664571285247803,0.0016163057135659,0.0676314160227775,484.11427019163966,1082983.981844735,0.1605299767106771,107479040.0,
216,2.5102953910827637,0.0016158815054325,0.0683104991912841,984.4621610827744,532562.8761834325,0.16589998267591,113770496.0,
228,2.513453483581543,0.0016154571186655,0.0788037851452827,987.8107400145382,530757.5416645943,0.1939199864864349,120061952.0,
240,2.5411362648010254,0.0016150325533879,0.0861540585756301,478.55640202760696,1095561.5634408644,0.1511599402874708,126353408.0,
252,2.501448631286621,0.0016146078097228,0.0790402516722679,479.8595611937344,1092586.3365017509,0.1715300604701042,132644864.0,
264,2.5501532554626465,0.0016141828877935,0.0681366771459579,478.8389711175114,1094915.0583471097,0.1631798222661018,138936320.0,
276,2.502833604812622,0.0016137577877232,0.0747406557202339,483.01416100002825,1085450.5775038125,0.2159401774406433,145227776.0,
288,2.52490234375,0.0016133325096352,0.0840764045715332,956.3207721803336,548234.4577799622,4.894418874755502,151519232.0,
300,2.4885053634643555,0.0016129070536529,0.062909334897995,1385.133306030184,378510.8608084939,0.1900501083582639,157810688.0,
312,2.467194080352783,0.0016124814198997,0.0798172652721405,481.31305119022727,1089286.896965501,0.1671798527240753,164102144.0,
324,2.5305099487304688,0.0016120556084989,0.0809541568160057,901.3254451565444,581685.5640960411,0.2370600122958421,170393600.0,
336,2.5211238861083984,0.0016116296195742,0.0695863366127014,483.5153301246464,1084325.4956669991,0.3829400520771742,176685056.0,
348,2.499533176422119,0.0016112034532491,0.0779694020748138,948.8987131044267,552522.616755095,0.1997600775212049,182976512.0,
360,2.535649061203003,0.0016107771096471,0.0835893005132675,479.60615111514926,1093163.627657734,0.1937099732458591,189267968.0,
372,2.546875,0.001610350588892,0.0774722546339035,483.0031411256641,1085475.3424131349,0.1594398636370897,195559424.0,
384,2.528945207595825,0.0016099238911074,0.0757118761539459,1016.1338390316814,515963.5275010791,0.2123999875038862,201850880.0,
396,2.5225517749786377,0.0016094970164172,0.0834521651268005,996.8473089393228,525946.1457119838,0.1719300635159015,208142336.0,
408,2.54713773727417,0.001609069964945,0.0729258134961128,1449.9937219079584,361579.4965719723,0.1705498434603214,214433792.0,
420,2.587299108505249,0.0016086427368149,0.0776875466108322,482.0154709741473,1087699.5274454996,0.1758998259902,220725248.0,
432,2.5341007709503174,0.0016082153321507,0.0789536833763122,976.3856900390238,536968.1319059945,0.158978858962655,227016704.0,
